,equity
2018-09-05,1494.7684217361925
2018-09-06,1485.6018074945137
2018-09-07,1486.5508065244376
2018-09-10,1491.4323479791972
2018-09-11,1499.9606634123656
2018-09-12,1492.9332606523626
2018-09-13,1488.454534193622
2018-09-14,1488.579188283889
2018-09-17,1482.7035795892089
2018-09-18,1495.3468145251288
2018-09-19,1494.7489498515145
2018-09-20,1506.8383801402103
2018-09-21,1515.9761813204775
2018-09-24,1506.945640124799
2018-09-25,1502.4247354639385
2018-09-26,1496.3406382016494
2018-09-27,1499.208067968343
2018-09-28,1497.709499701284
2018-10-01,1510.1817438663227
2018-10-02,1508.9047324609724
2018-10-03,1508.727031489182
2018-10-04,1487.5185405798834
2018-10-05,1478.531461836351
2018-10-08,1479.572030561937
2018-10-09,1484.9109157586229
2018-10-10,1461.0120760822192
2018-10-11,1452.2357118041177
2018-10-12,1452.2357118041177
2018-10-15,1452.2357118041177
2018-10-16,1452.2357118041177
2018-10-17,1448.9838045039603
2018-10-18,1448.4570243190237
2018-10-19,1446.8337797755667
2018-10-22,1442.5475049852648
2018-10-23,1448.2541012544912
2018-10-24,1448.2643367909577
2018-10-25,1449.1057479993015
2018-10-26,1444.9501026166108
2018-10-29,1447.479412177005
2018-10-30,1454.4921481610445
2018-10-31,1449.6515386044648
2018-11-01,1453.1277425130038
2018-11-02,1454.9765950032381
2018-11-05,1461.917030540958
2018-11-06,1463.5674352963595
2018-11-07,1467.5142345507043
2018-11-08,1465.762331119806
2018-11-09,1468.8893891318148
2018-11-12,1453.0886340422453
2018-11-13,1439.5916235241293
2018-11-14,1431.4960379597069
2018-11-15,1429.3549359558235
2018-11-16,1434.9983472496165
2018-11-19,1432.2070701538214
2018-11-20,1421.6264544775179
2018-11-21,1408.423376227755
2018-11-23,1408.0220574680839
2018-11-26,1409.3566011257683
2018-11-27,1411.959110818914
2018-11-28,1412.9265061810052
2018-11-29,1414.2878011657463
2018-11-30,1419.633172207616
2018-12-03,1420.7839232256433
2018-12-04,1396.0406246284263
2018-12-06,1385.3288803820883
2018-12-07,1368.8850085860524
2018-12-10,1369.2639640291698
2018-12-11,1376.5166910944467
2018-12-12,1377.9896117983349
2018-12-13,1388.3756754267222
2018-12-14,1374.2019006716469
2018-12-17,1352.9093694440014
2018-12-18,1351.2387242051288
2018-12-19,1351.2387242051288
2018-12-20,1351.2387242051288
2018-12-21,1351.2387242051288
2018-12-24,1351.2387242051288
2018-12-26,1351.2387242051288
2018-12-27,1351.2387242051288
2018-12-28,1351.2387242051288
2018-12-31,1351.2387242051288
2019-01-02,1351.2387242051288
2019-01-03,1351.2387242051288
2019-01-04,1351.2387242051288
2019-01-07,1351.2387242051288
2019-01-08,1351.2387242051288
2019-01-09,1351.2387242051288
2019-01-10,1351.2387242051288
2019-01-11,1351.2387242051288
2019-01-14,1351.2387242051288
2019-01-15,1351.2387242051288
2019-01-16,1351.2387242051288
2019-01-17,1351.2387242051288
2019-01-18,1351.2387242051288
2019-01-22,1351.2387242051288
2019-01-23,1351.2387242051288
2019-01-24,1351.2387242051288
2019-01-25,1351.2387242051288
2019-01-28,1351.2387242051288
2019-01-29,1351.2387242051288
2019-01-30,1351.2387242051288
2019-01-31,1351.2387242051288
2019-02-01,1351.2387242051288
2019-02-04,1351.2387242051288
2019-02-05,1361.1494838891265
2019-02-06,1356.1497800332306
2019-02-07,1342.1914925683257
2019-02-08,1343.0052460843324
2019-02-11,1340.718564090466
2019-02-12,1355.3363693684814
2019-02-13,1356.3631887234922
2019-02-14,1344.6370438072152
2019-02-15,1349.475842824549
2019-02-19,1353.583588147028
2019-02-20,1356.4949362087802
2019-02-21,1346.5976490833834
2019-02-22,1357.6591583515717
